outcode,pct_private_rented,pct_students,pct_employed
EX3,14.9,16.6,54.8
EX31,16.1,16.7,60.2
EX32,15.8,17.0,58.3
EX33,21.3,18.4,57.3
EX34,25.2,17.2,55.5
EX35,20.3,13.3,52.9
EX36,21.8,16.7,56.2
EX37,21.8,16.7,56.2
EX38,16.1,14.0,53.1
EX39,18.9,11.8,43.7
EX4,20.0,56.7,27.0
EX5,15.4,14.6,58.7
EX6,14.5,14.0,53.7
EX7,23.7,11.1,46.3
EX8,13.8,13.0,41.3
EX9,17.2,16.7,52.7
FY1,58.6,17.4,52.5
FY2,25.1,15.0,50.8
FY3,22.1,17.4,58.1
FY4,34.4,16.6,54.7
FY5,16.8,19.9,52.7
FY6,20.6,16.3,53.5
FY7,39.1,16.9,50.8
FY8,21.3,13.4,49.4
GL1,26.4,23.8,61.5
GL10,8.7,16.1,58.2
GL11,14.7,18.4,61.4
GL12,13.9,18.0,59.2
GL13,15.9,15.4,61.9
GL14,16.2,16.9,57.3
GL15,14.6,15.8,58.1
GL16,13.8,16.2,55.2
GL17,9.5,16.7,57.4
GL18,18.3,15.9,57.7
GL19,12.9,16.6,58.8
GL2,10.0,17.6,60.3
GL20,16.0,14.4,56.0
GL3,13.5,19.1,66.0
GL4,14.5,20.9,64.5
GL5,13.6,17.5,60.3
GL50,46.1,18.7,62.1
GL51,17.8,16.6,61.5
GL52,15.3,21.1,70.6
GL53,12.8,18.9,56.2
GL54,12.6,14.9,54.0
GL55,12.8,14.6,52.9
GL56,13.6,14.2,56.8
GL6,13.6,17.5,60.3
GL7,11.9,16.7,57.5
GL8,17.3,15.6,60.6
GL9,15.5,16.9,60.8
GU1,31.7,50.7,38.1
GU10,11.8,24.3,59.9
GU11,25.7,15.3,62.8
GU12,17.2,15.8,65.3
GU14,17.8,16.9,65.2
GU15,23.4,17.3,64.3
GU16,12.3,18.3,64.8
GU17,11.6,16.7,65.0
GU18,11.6,15.6,60.1
GU19,15.4,17.7,63.9
GU2,22.0,21.7,58.2
GU20,12.4,17.3,58.8
GU21,29.2,22.8,63.5
GU22,14.5,23.8,67.7
GU23,11.7,18.4,57.9
GU24,12.4,17.3,58.8
GU25,20.3,20.3,57.9
GU26,13.7,18.1,56.7
GU27,13.6,19.4,60.2
GU28,23.5,17.6,54.4
